district,isocode,trust_relatives,trust_neighbors,intra_group_trust,inter_group_trust,trust_local_council,export_area,export_pop,exports
BIGNONA,SEN,2.78125,2.59375,2.3870967741935485,2.3548387096774195,2.2580645161290325,0.34948701345161304,0.06417229949999999,60.86680677564515
DAGANA,SEN,2.909090909090909,2.8181818181818183,2.5454545454545454,2.1,1.1,1.5868849155454543,0.10687889900000001,51.3276556209091
DAKAR,SEN,2.8412698412698414,2.1404958677685952,1.7881355932203389,1.5478260869565217,1.4838709677419355,2.202262622023622,0.1076934982735849,77.38385616607869
DIOURBEL,SEN,2.948717948717949,2.7948717948717947,2.6578947368421053,2.526315789473684,2.25,2.838876435824998,0.09153169733333326,75.97611674157503
FATICK,SEN,2.90625,2.5625,2.65625,2.625,2.4838709677419355,0.5840946745312501,0.021387914517241383,15.862797946374998
FOUNDIOUGNE,SEN,3.0,2.6875,2.8125,2.625,2.1333333333333333,1.9755425109999998,0.0635824171875,52.14038284287499
GOSSAS,SEN,2.8125,2.6875,2.6875,2.1875,2.5,0.7628160213750002,0.027021006066666676,20.438827247124998
GUEDIAWAYE,SEN,2.4583333333333335,2.1666666666666665,2.1739130434782608,2.0,1.3333333333333333,1.5513606318333333,0.07642862607692308,47.63827852591666
KAFFRINE,SEN,2.9444444444444446,2.8333333333333335,2.6056338028169015,2.3857142857142857,2.4153846153846152,2.704369823055557,0.12129206149206341,97.83732108558331
KANEL,SEN,3.0,2.875,2.4375,1.8666666666666667,1.9166666666666667,0.9065430235,0.106878899,36.50787854375
KAOLACK,SEN,2.9,2.475,2.325,2.230769230769231,2.1052631578947367,3.0065258560499992,0.2115910767352941,62.63446958122502
KEDOUGOU,SEN,3.0,3.0,2.125,2.125,1.4285714285714286,0.69903833375,0.22395597399999997,53.14649319875001
KOLDA,SEN,2.875,2.5833333333333335,2.625,2.5833333333333335,2.5217391304347827,1.8665337855,2.4648440925,47.63150994166668
LINGUERE,SEN,2.75,1.75,1.75,1.75,2.5,3.4011299609999996,0.10687889900000001,90.84706115999998
LOUGA,SEN,2.8970588235294117,2.4558823529411766,2.2205882352941178,1.8923076923076922,1.9,3.074155579309862,0.10533259607812488,83.47824611053514
MATAM,SEN,2.84375,2.59375,2.6875,1.6875,2.1666666666666665,0.661963102,0.19192271333333333,43.48680785475001
MBACKE,SEN,2.8392857142857144,2.75,2.642857142857143,2.5535714285714284,1.4,3.1096594410357157,0.10722723915384604,87.20829004746427
MBOUR,SEN,2.851063829787234,2.297872340425532,2.2708333333333335,2.127659574468085,1.8974358974358974,1.8677189139375001,0.11941357806666662,104.88591794412503
NIORO,SEN,2.935483870967742,2.7419354838709675,2.5625,2.53125,2.4615384615384617,2.1283659235000005,0.09698256030000002,62.02931456487502
PIKINE,SEN,2.8545454545454545,2.209090909090909,1.9333333333333333,1.8666666666666667,1.2747252747252746,2.389837623585587,0.11324406863218384,83.00269176483779
PODOR,SEN,2.875,2.40625,2.21875,1.7096774193548387,1.826086956521739,0.9956354141249999,0.106878899,38.448563637187505
RUFISQUE,SEN,2.870967741935484,2.4193548387096775,2.0344827586206895,1.8333333333333333,1.8387096774193548,2.2428742828750003,0.08122172459259261,61.790296534250025
SAINT LOUIS,SEN,2.5454545454545454,1.7826086956521738,1.5238095238095237,1.1,1.4705882352941178,2.1925730857083336,0.09996397033333333,63.793264378875
SEDHIOU,SEN,2.923076923076923,2.7948717948717947,2.6666666666666665,2.473684210526316,2.361111111111111,2.413283910871795,0.2883578380606061,209.7123712369486
TAMBACOUNDA,SEN,3.0,3.0,2.9375,2.8125,2.3870967741935485,1.46302188253125,0.153548105625,86.79235916112498
THIES,SEN,2.8028169014084505,2.5211267605633805,2.2753623188405796,1.9705882352941178,2.206896551724138,2.385074851152778,0.15083575330508472,57.49423779905558
TIVAOUNE,SEN,2.851063829787234,2.5106382978723403,2.282608695652174,2.022222222222222,1.9268292682926829,2.874328599666665,0.09229421648936162,73.51458311300003
VELINGARA,SEN,2.7083333333333335,2.7916666666666665,2.7916666666666665,2.3333333333333335,2.5833333333333335,1.038345416,0.191974191,47.601294996250004
ZIGUINCHOR,SEN,2.9375,2.875,2.5,2.5625,2.066666666666667,0.234751819875,0.036876425357142854,33.380863749250004
Arumeru,TZA,2.0,1.8,1.8,1.8,2.0,0.09235288839999999,0.0105155366,1.078768204
Arusha Urban,TZA,2.6,1.6,1.4,1.0,2.75,0.09022166159999999,0.0085238752,0.9047037392
Babati,TZA,2.0,2.0,2.0,2.0,,0.252080292,0.022619333,3.39289999
Bariadi,TZA,2.725,2.35,2.275,2.0,2.3947368421052633,0.1216911669999999,0.004790451,4.790451050000001
Bukoba Rural,TZA,2.625,2.0625,2.0,1.9375,2.9375,0.0,0.0,0.0
Bukoba Urban,TZA,2.5714285714285716,2.142857142857143,2.2857142857142856,1.7142857142857142,2.2857142857142856,0.034481925571428575,0.006401324857142857,1.2560476575714286
Bunda,TZA,2.5,1.75,2.25,2.0,2.5,0.09126837524999999,0.0035928382499999995,3.5928382875
Dodoma Rural,TZA,2.6875,2.5,2.4375,1.6875,2.5625,0.068247877,0.020563031000000006,2.2619333270000004
Dodoma Urban,TZA,2.142857142857143,1.8571428571428572,1.8571428571428572,1.8571428571428572,1.8571428571428572,0.533182393,0.054192190285714294,14.019015969714284
Geita,TZA,2.8181818181818183,2.6818181818181817,2.6818181818181817,2.090909090909091,2.227272727272727,0.12169116699999999,0.004790451,4.790451050000001
Hai,TZA,2.0,2.1,2.1,1.9,2.5,0.15808586139999997,0.0320217505,6.6727037643000005
Handeni,TZA,2.5,2.0,2.0,2.0,2.5,0.006082553,0.0019313429999999999,0.347641766
Ilala,TZA,2.0714285714285716,1.7142857142857142,1.8571428571428572,1.7142857142857142,2.1666666666666665,0.24629072192857143,0.03810541735714285,7.722004930928571
Iringa Rural,TZA,1.8461538461538463,1.6153846153846154,1.3076923076923077,0.8461538461538461,2.1538461538461537,0.13306044069230769,0.036219042384615374,3.633789635538462
Kahama,TZA,2.7096774193548385,2.5806451612903225,2.4838709677419355,2.193548387096774,2.4516129032258065,0.2074148171612902,0.02253983406451611,13.278815730645162
Karagwe,TZA,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0
Karatu,TZA,2.5555555555555554,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.7777777777777777,0.11911623733333333,0.012583028444444443,1.9918959843333335
Kasulu,TZA,2.0,2.0,2.0,2.0,0.0,0.12169116699999999,0.004790450999999999,4.79045105
